Cliff Watson,Fr,D,8,0,0,0,4,-2,0,0,0,0,0,2
Brad Stebner,Sr,D,8,0,0,0,12,-2,0,0,0,0,0,3
Justin Fillion,Jr,D,-,-,-,0,-,-,-,-,-,-,-,-
Chris Leibinger,Fr,D,8,1,1,2,19,+4,0,1,0,0,0,8
Reid Sturos,Fr,F,3,0,0,0,6,-3,0,0,0,0,0,0
Jacob Johnstone,Sr,F,6,0,0,0,4,-2,0,0,0,0,0,13
Dennis Rix,Sr,F,8,1,0,1,10,+0,0,0,0,0,0,16
Tanner Kero,Jr,F,8,0,1,1,2,-4,0,0,0,0,0,19
Daniel Holmberg,Sr,F,2,0,1,1,0,+1,0,0,0,0,0,1
Ryan Furne,Sr,F,6,1,0,1,14,-2,1,0,0,0,0,11
Patrick Anderson,Fr,F,-,-,-,0,-,-,-,-,-,-,-,-
Malcolm Gould,So,F,2,0,0,0,0,-1,0,0,0,0,0,2
David Johnstone,Jr,F,5,1,2,3,6,+2,0,0,0,0,0,14
Riley Sweeney,Jr,D,8,0,2,2,8,-2,0,0,0,0,0,10
CJ Eick,So,F,8,2,0,2,12,+1,0,2,0,0,0,9
Blake Pietila,Jr,F,7,1,1,2,23,-5,1,0,0,0,0,16
Blake Hietala,Jr,F,7,2,3,5,4,+3,1,0,0,1,0,21
Max Vallis,Fr,F,6,0,2,2,17,+2,0,0,0,0,0,2
Shane Hanna,Fr,D,8,0,2,2,2,-4,0,0,0,0,0,8
Alex Petan,So,F,8,2,1,3,25,-2,0,0,0,0,0,21
Daniel Sova,Sr,D,-,-,-,0,-,-,-,-,-,-,-,-
Mike Neville,Fr,F,8,1,3,4,32,+3,0,0,0,0,1,6
Jimmy Davis,Jr,D,-,-,-,0,-,-,-,-,-,-,-,-
Tyler Heinonen,Fr,F,7,2,0,2,2,+0,0,0,0,0,0,12
Brent Baltus,Fr,F,5,0,1,1,4,+0,0,0,0,0,0,3
Walker Hyland,So,D,8,0,0,0,6,+1,0,0,0,0,0,10
Jamie Phillips,So,G,2,0,1,1,0,+0,0,0,0,0,0,0
Pheonix Copley,So,G,6,0,0,0,0,+0,0,0,0,0,0,0
Matt Wintjes,Fr,G,-,-,-,0,-,-,-,-,-,-,-,-